婚姻類型",性別,總　　　　　　　　　　　　　　　　　　　　計,,,,,,,,,,,,,,,,,,,"婚姻狀況及
婚姻類型",性別,博　　　　　　士　　　　　　畢　　　　　　業,,,,,,,,,,,,,,,,,,,"婚姻狀況及
婚姻類型",性別,碩　　　　　　士　　　　　　畢　　　　　　業,,,,,,,,,,,,,,,,,,,"婚姻狀況及
婚姻類型",性別,大　　　　　　學　　　　　　畢　　　　　　業,,,,,,,,,,,,,,,,,,
,,總　計,15～19歲,20～24歲,25～29歲,30～34歲,35～39歲,40～44歲,45～49歲,50～54歲,55～59歲,60～64歲,65～69歲,70～74歲,75～79歲,80～84歲,85～89歲,90～94歲,95～99歲,"100歲
以上",,,合　計,15～19歲,20～24歲,25～29歲,30～34歲,35～39歲,40～44歲,45～49歲,50～54歲,55～59歲,60～64歲,65～69歲,70～74歲,75～79歲,80～84歲,85～89歲,90～94歲,95～99歲,"100歲
以上",,,合　計,15～19歲,20～24歲,25～29歲,30～34歲,35～39歲,40～44歲,45～49歲,50～54歲,55～59歲,60～64歲,65～69歲,70～74歲,75～79歲,80～84歲,85～89歲,90～94歲,95～99歲,"100歲
以上",,,合　計,15～19歲,20～24歲,25～29歲,30～34歲,35～39歲,40～44歲,45～49歲,50～54歲,55～59歲,60～64歲,65～69歲,70～74歲,75～79歲,80～84歲,85～89歲,90～94歲,95～99歲,"100歲
以上"
　　不同性別,男,"253,160",—,13,52,244,808,"2,090","3,789","7,500","14,088","22,323","31,482","34,548","31,904","41,177","35,218","21,072","5,886",966,　　不同性別,男,858,—,—,—,1,6,15,30,51,106,154,158,130,77,62,35,24,9,—,　　不同性別,男,"4,046",—,—,—,18,67,170,305,468,628,525,581,515,316,224,143,69,16,1,　　不同性別,男,"18,794",—,—,10,81,240,449,649,849,"1,273","1,787","2,621","2,941","2,251","2,125","1,505","1,285",588,140
,女,"1,147,153",3,55,298,"1,080","5,279","13,080","22,957","40,455","71,999","111,940","163,110","186,457","158,810","171,448","121,399","60,191","16,191","2,401",,女,466,—,—,—,—,3,6,30,56,84,87,76,60,29,19,11,2,3,—,,女,"4,813",—,—,6,13,92,290,523,766,813,739,595,465,255,154,71,24,6,1,,女,"33,933",—,3,61,252,743,"1,392","2,117","2,876","3,769","4,306","5,116","5,447","3,411","2,112","1,215",693,343,77
,計,37,—,1,3,5,4,4,5,8,3,3,1,—,—,—,—,—,—,—,,計,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,,計,6,—,—,1,—,—,2,1,1,—,1,—,—,—,—,—,—,—,—,,計,11,—,—,—,1,2,2,1,2,1,1,1,—,—,—,—,—,—,—
　　相同性別,男,18,—,—,2,2,1,2,3,5,2,—,1,—,—,—,—,—,—,—,　　相同性別,男,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,　　相同性別,男,3,—,—,1,—,—,1,1,—,—,—,—,—,—,—,—,—,—,—,　　相同性別,男,4,—,—,—,1,—,1,—,1,—,—,1,—,—,—,—,—,—,—
,女,19,—,1,1,3,3,2,2,3,1,3,—,—,—,—,—,—,—,—,,女,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,,女,3,—,—,—,—,—,1,—,1,—,1,—,—,—,—,—,—,—,—,,女,7,—,—,—,—,2,1,1,1,1,1,—,—,—,—,—,—,—,—
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
備註：司法院釋字第748號解釋施行法自108年5月24日施行後，相同性別2人可至戶政事務所辦理結婚登記及終上結婚登記，爰於婚姻狀況別項下增列婚姻類型。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
更新日期：2022/3/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
