　十五歲以上現住人口數按性別、年齡、婚姻狀況及教育程度分,,,,,,,,,,,,,,,,,,,,,　十五歲以上現住人口數按性別、年齡、婚姻狀況及教育程度分(續1),,,,,,,,,,,,,,,,,,,,,　十五歲以上現住人口數按性別、年齡、婚姻狀況及教育程度分(續2),,,,,,,,,,,,,,,,,,,,,　十五歲以上現住人口數按性別、年齡、婚姻狀況及教育程度分(續3),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
有　　　　偶,男,"709,194",—,399,"4,181","15,602","54,748","103,476","115,152","115,141","102,161","83,618","63,324","25,411","11,487","6,230","5,109","2,704",421,30,有　　　　偶,男,"1,527,856",125,"8,451","34,815","66,791","138,968","176,425","188,894","224,223","222,058","199,252","130,549","63,187","38,375","18,247","10,607","5,749","1,038",102,有　　　　偶,男,"814,421",346,"5,136","11,996","22,160","41,096","52,090","67,810","112,843","176,075","154,660","74,664","42,336","27,153","12,433","8,317","4,474",728,104,有　　　　偶,男,"638,340",5,90,291,"1,560","2,007","4,298","5,439","9,808","24,802","73,393","168,252","118,311","108,522","76,170","33,573","9,926","1,623",270
,女,"652,206",—,"1,799","8,142","25,164","86,848","144,755","124,598","94,215","69,797","46,225","31,048","11,714","5,148","2,033",583,121,13,3,,女,"1,560,975",564,"16,531","44,160","77,732","158,110","200,969","228,028","262,275","239,402","176,924","98,802","35,143","15,029","5,053","1,662",497,81,13,,女,"781,318","1,454","7,798","12,997","26,235","49,903","52,336","68,080","119,493","177,781","148,668","60,400","29,938","16,630","6,735","2,377",428,54,11,,女,"800,109",41,171,780,"5,053","14,797","14,589","12,384","21,107","59,701","136,965","211,952","132,539","103,893","61,478","20,636","3,551",425,47
,計,"1,360,910",—,"2,183","12,276","40,710","141,478","248,106","239,667","209,329","171,946","129,838","94,370","37,125","16,635","8,263","5,692","2,825",434,33,,計,"3,087,206",685,"24,762","78,596","144,193","296,788","377,201","416,807","486,433","461,438","376,171","229,349","98,330","53,404","23,300","12,269","6,246","1,119",115,,計,"1,595,098","1,794","12,806","24,823","48,245","90,911","104,384","135,857","232,321","353,852","303,326","135,062","72,273","43,783","19,168","10,694","4,902",782,115,,計,"1,438,392",46,261,"1,063","6,597","16,798","18,878","17,814","30,911","84,501","210,357","380,203","250,849","212,415","137,648","54,209","13,477","2,048",317
　　不同性別,男,"709,042",—,396,"4,166","15,592","54,721","103,442","115,115","115,125","102,155","83,616","63,322","25,411","11,487","6,230","5,109","2,704",421,30,　　不同性別,男,"1,527,454",124,"8,381","34,744","66,717","138,909","176,376","188,859","224,191","222,051","199,250","130,547","63,187","38,375","18,247","10,607","5,749","1,038",102,　　不同性別,男,"814,325",345,"5,117","11,975","22,129","41,089","52,088","67,802","112,838","176,075","154,659","74,664","42,335","27,153","12,433","8,317","4,474",728,104,　　不同性別,男,"638,333",5,90,290,"1,560","2,007","4,298","5,436","9,807","24,800","73,393","168,252","118,311","108,522","76,170","33,573","9,926","1,623",270
,女,"651,868",—,"1,787","8,110","25,118","86,757","144,664","124,552","94,204","69,791","46,222","31,048","11,714","5,148","2,033",583,121,13,3,,女,"1,559,752",561,"16,381","43,852","77,476","157,879","200,825","227,948","262,242","239,387","176,921","98,802","35,143","15,029","5,053","1,662",497,81,13,,女,"780,773","1,449","7,689","12,848","26,116","49,822","52,296","68,055","119,483","177,777","148,667","60,398","29,938","16,630","6,735","2,377",428,54,11,,女,"800,059",41,171,773,"5,037","14,791","14,580","12,378","21,104","59,701","136,964","211,951","132,538","103,893","61,478","20,636","3,551",425,47
,計,490,—,15,47,56,118,125,83,27,12,5,2,—,—,—,—,—,—,—,,計,"1,625",4,220,379,330,290,193,115,65,22,5,2,—,—,—,—,—,—,—,,計,641,6,128,170,150,88,42,33,15,4,2,2,1,—,—,—,—,—,—,,計,57,—,—,8,16,6,9,9,4,2,1,1,1,—,—,—,—,—,—
　　相同性別,男,152,—,3,15,10,27,34,37,16,6,2,2,—,—,—,—,—,—,—,　　相同性別,男,402,1,70,71,74,59,49,35,32,7,2,2,—,—,—,—,—,—,—,　　相同性別,男,96,1,19,21,31,7,2,8,5,—,1,—,1,—,—,—,—,—,—,　　相同性別,男,7,—,—,1,—,—,—,3,1,2,—,—,—,—,—,—,—,—,—
,女,338,—,12,32,46,91,91,46,11,6,3,—,—,—,—,—,—,—,—,,女,"1,223",3,150,308,256,231,144,80,33,15,3,—,—,—,—,—,—,—,—,,女,545,5,109,149,119,81,40,25,10,4,1,2,—,—,—,—,—,—,—,,女,50,—,—,7,16,6,9,6,3,—,1,1,1,—,—,—,—,—,—
,計,"194,576",—,160,"1,208","4,169","15,416","32,432","37,472","35,736","28,857","20,173","12,963","3,860","1,191",435,298,169,35,2,,計,"703,658",43,"4,090","15,470","27,447","65,959","104,666","121,096","126,591","105,641","74,325","38,186","12,645","4,513","1,494",853,506,122,11,,計,"454,701",281,"4,505","10,193","18,751","39,163","51,262","61,048","78,625","89,681","62,170","23,169","9,101","4,000","1,386",801,458,93,14,,計,"217,742",10,95,394,"2,996","7,579","8,116","8,176","12,767","23,736","42,262","56,337","26,949","15,399","7,824","3,311","1,385",340,66
離婚/終止結婚,男,"95,890",—,32,362,"1,429","5,669","13,451","17,666","18,772","15,804","11,519","7,598","2,271",669,251,230,137,28,2,離婚/終止結婚,男,"331,113",4,"1,274","6,229","11,809","28,824","48,287","57,108","61,040","49,731","35,925","19,091","7,035","2,740",942,575,407,85,7,離婚/終止結婚,男,"233,984",27,"1,599","4,646","8,425","17,431","26,386","33,329","42,818","47,130","31,655","11,938","4,847","2,122",701,483,362,74,11,離婚/終止結婚,男,"86,183",—,23,146,767,"1,224","2,463","2,896","4,889","8,299","15,826","24,379","12,360","7,132","3,392","1,424",734,184,45
,女,"98,686",—,128,846,"2,740","9,747","18,981","19,806","16,964","13,053","8,654","5,365","1,589",522,184,68,32,7,—,,女,"372,545",39,"2,816","9,241","15,638","37,135","56,379","63,988","65,551","55,910","38,400","19,095","5,610","1,773",552,278,99,37,4,,女,"220,717",254,"2,906","5,547","10,326","21,732","24,876","27,719","35,807","42,551","30,515","11,231","4,254","1,878",685,318,96,19,3,,女,"131,559",10,72,248,"2,229","6,355","5,653","5,280","7,878","15,437","26,436","31,958","14,589","8,267","4,432","1,887",651,156,21
,計,"194,558",—,157,"1,199","4,168","15,415","32,431","37,469","35,736","28,857","20,173","12,963","3,860","1,191",435,298,169,35,2,,計,"703,568",42,"4,054","15,440","27,433","65,953","104,663","121,096","126,591","105,641","74,325","38,186","12,645","4,513","1,494",853,506,122,11,,計,"454,663",279,"4,483","10,183","18,751","39,160","51,262","61,048","78,624","89,681","62,170","23,169","9,101","4,000","1,386",801,458,93,14,,計,"217,737",10,95,393,"2,995","7,578","8,116","8,176","12,767","23,736","42,261","56,336","26,949","15,399","7,824","3,311","1,385",340,66
　　不同性別,男,"95,879",—,29,356,"1,428","5,669","13,450","17,666","18,772","15,804","11,519","7,598","2,271",669,251,230,137,28,2,　　不同性別,男,"331,067",3,"1,254","6,216","11,803","28,820","48,285","57,108","61,040","49,731","35,925","19,091","7,035","2,740",942,575,407,85,7,　　不同性別,男,"233,973",26,"1,593","4,643","8,425","17,431","26,386","33,329","42,817","47,130","31,655","11,938","4,847","2,122",701,483,362,74,11,　　不同性別,男,"86,183",—,23,146,767,"1,224","2,463","2,896","4,889","8,299","15,826","24,379","12,360","7,132","3,392","1,424",734,184,45
,女,"98,679",—,128,843,"2,740","9,746","18,981","19,803","16,964","13,053","8,654","5,365","1,589",522,184,68,32,7,—,,女,"372,501",39,"2,800","9,224","15,630","37,133","56,378","63,988","65,551","55,910","38,400","19,095","5,610","1,773",552,278,99,37,4,,女,"220,690",253,"2,890","5,540","10,326","21,729","24,876","27,719","35,807","42,551","30,515","11,231","4,254","1,878",685,318,96,19,3,,女,"131,554",10,72,247,"2,228","6,354","5,653","5,280","7,878","15,437","26,435","31,957","14,589","8,267","4,432","1,887",651,156,21
,計,18,—,3,9,1,1,1,3,—,—,—,—,—,—,—,—,—,—,—,,計,90,1,36,30,14,6,3,—,—,—,—,—,—,—,—,—,—,—,—,,計,38,2,22,10,—,3,—,—,1,—,—,—,—,—,—,—,—,—,—,,計,5,—,—,1,1,1,—,—,—,—,1,1,—,—,—,—,—,—,—
　　相同性別,男,11,—,3,6,1,—,1,—,—,—,—,—,—,—,—,—,—,—,—,　　相同性別,男,46,1,20,13,6,4,2,—,—,—,—,—,—,—,—,—,—,—,—,　　相同性別,男,11,1,6,3,—,—,—,—,1,—,—,—,—,—,—,—,—,—,—,　　相同性別,男,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
,女,7,—,—,3,—,1,—,3,—,—,—,—,—,—,—,—,—,—,—,,女,44,—,16,17,8,2,1,—,—,—,—,—,—,—,—,—,—,—,—,,女,27,1,16,7,—,3,—,—,—,—,—,—,—,—,—,—,—,—,—,,女,5,—,—,1,1,1,—,—,—,—,1,1,—,—,—,—,—,—,—
,計,"50,725",—,1,19,87,589,"2,031","3,388","4,770","6,155","7,402","8,078","5,390","4,218","3,407","2,726","1,828",571,65,,計,"206,312",—,30,180,612,"2,662","6,508","12,529","21,480","30,032","34,495","31,362","20,786","16,829","11,282","8,900","6,653","1,729",243,,計,"217,377",3,29,110,548,"2,127","4,012","7,788","17,409","35,001","42,372","27,745","23,109","21,357","15,490","12,236","6,423","1,411",207,,計,"842,718",1,—,13,229,"1,191","1,620","1,906","4,504","16,123","51,291","122,543","124,511","157,989","167,775","121,530","55,876","13,639","1,977"
喪　　　　偶,男,"16,076",—,—,—,14,102,319,678,"1,220","1,802","2,458","2,801","1,650","1,283","1,138","1,276",994,304,37,喪　　　　偶,男,"46,681",—,7,15,75,350,803,"1,609","3,105","5,053","7,010","7,017","5,041","5,244","4,184","3,632","2,765",679,92,喪　　　　偶,男,"40,212",—,2,13,63,155,415,886,"2,248","5,224","6,879","4,884","4,116","4,649","3,757","3,789","2,469",573,90,喪　　　　偶,男,"125,751",—,—,—,2,13,35,95,283,"1,067","4,256","13,207","14,178","22,827","29,885","25,161","11,569","2,761",412
,女,"34,649",—,1,19,73,487,"1,712","2,710","3,550","4,353","4,944","5,277","3,740","2,935","2,269","1,450",834,267,28,,女,"159,631",—,23,165,537,"2,312","5,705","10,920","18,375","24,979","27,485","24,345","15,745","11,585","7,098","5,268","3,888","1,050",151,,女,"177,165",3,27,97,485,"1,972","3,597","6,902","15,161","29,777","35,493","22,861","18,993","16,708","11,733","8,447","3,954",838,117,,女,"716,967",1,—,13,227,"1,178","1,585","1,811","4,221","15,056","47,035","109,336","110,333","135,162","137,890","96,369","44,307","10,878","1,565"
,計,"50,725",—,1,19,87,589,"2,031","3,388","4,770","6,155","7,402","8,078","5,390","4,218","3,407","2,726","1,828",571,65,,計,"206,311",—,30,180,612,"2,662","6,507","12,529","21,480","30,032","34,495","31,362","20,786","16,829","11,282","8,900","6,653","1,729",243,,計,"217,376",3,29,110,548,"2,127","4,012","7,787","17,409","35,001","42,372","27,745","23,109","21,357","15,490","12,236","6,423","1,411",207,,計,"842,718",1,—,13,229,"1,191","1,620","1,906","4,504","16,123","51,291","122,543","124,511","157,989","167,775","121,530","55,876","13,639","1,977"
　　不同性別,男,"16,076",—,—,—,14,102,319,678,"1,220","1,802","2,458","2,801","1,650","1,283","1,138","1,276",994,304,37,　　不同性別,男,"46,681",—,7,15,75,350,803,"1,609","3,105","5,053","7,010","7,017","5,041","5,244","4,184","3,632","2,765",679,92,　　不同性別,男,"40,211",—,2,13,63,155,415,885,"2,248","5,224","6,879","4,884","4,116","4,649","3,757","3,789","2,469",573,90,　　不同性別,男,"125,751",—,—,—,2,13,35,95,283,"1,067","4,256","13,207","14,178","22,827","29,885","25,161","11,569","2,761",412
,女,"34,649",—,1,19,73,487,"1,712","2,710","3,550","4,353","4,944","5,277","3,740","2,935","2,269","1,450",834,267,28,,女,"159,630",—,23,165,537,"2,312","5,704","10,920","18,375","24,979","27,485","24,345","15,745","11,585","7,098","5,268","3,888","1,050",151,,女,"177,165",3,27,97,485,"1,972","3,597","6,902","15,161","29,777","35,493","22,861","18,993","16,708","11,733","8,447","3,954",838,117,,女,"716,967",1,—,13,227,"1,178","1,585","1,811","4,221","15,056","47,035","109,336","110,333","135,162","137,890","96,369","44,307","10,878","1,565"
,計,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,,計,1,—,—,—,—,—,1,—,—,—,—,—,—,—,—,—,—,—,—,,計,1,—,—,—,—,—,—,1,—,—,—,—,—,—,—,—,—,—,—,,計,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
　　相同性別,男,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,　　相同性別,男,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,　　相同性別,男,1,—,—,—,—,—,—,1,—,—,—,—,—,—,—,—,—,—,—,　　相同性別,男,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
,女,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,,女,1,—,—,—,—,—,1,—,—,—,—,—,—,—,—,—,—,—,—,,女,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,,女,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
